idMagasin;adresse;code-commune
1;ZAC 709-3712 Elit Rd.;83
2;CP 768 7523 Dignissim. Chemin;784
3;CP 169 9175 A Chemin;737
4;556-4246 Vitae Chemin;164
5;CP 585 2192 Eget Rd.;768
6;405-1342 Lobortis. Rue;12
7;CP 727 120 Lectus Rd.;265
8;ZAC 727-5109 Commodo Rue;253
9;ZAC 191-4434 Lacinia. Rd.;541
10;243-7842 Sem Route;353
11;CP 647 7679 Feugiat Av.;283
12;CP 272 249 Lacus. Route;647
13;514-1512 Nunc Ave;349
14;CP 860 7711 Morbi Rd.;484
15;ZAC 947-600 Vestibulum Impasse;44
16;ZAC 720-3120 Velit. Route;893
17;275-4201 Non Rd.;341
18;CP 544 2182 Dictum. Rd.;216
19;5569 Ornare Chemin;317
20;ZAC 932-3852 Lacinia Avenue;218
21;1084 Luctus Avenue;590
22;CP 640 1894 Volutpat Av.;602
23;295-8608 Donec Impasse;647
24;284 Eget Impasse;624
25;339-2177 Id Rd.;377
26;ZAC 829-6786 Mauris Ave;281
27;ZAC 652-298 Scelerisque Ave;74
28;150-6407 Urna Route;74
29;ZAC 250-2342 Id Av.;537
30;990-6531 Egestas. Route;727
31;451-8682 Pretium Avenue;873
32;ZAC 615-4589 Nisi Rue;14
33;ZAC 574-1182 Mauris Av.;561
34;597 Et Avenue;607
35;ZAC 882-9160 Magnis Route;19
36;CP 466 5122 Et Ave;393
37;CP 175 3688 Dictum Impasse;599
38;CP 151 982 Enim Rue;476
39;9242 Tempor Rue;547
40;CP 939 9342 Orci Rue;696
41;6688 Eget Rd.;661
42;845-5061 Pharetra. Avenue;214
43;ZAC 337-7827 Dolor. Route;499
44;ZAC 209-9583 Duis Route;545
45;ZAC 178-2249 Praesent Rue;85
46;CP 356 2196 Malesuada Avenue;893
47;2280 Consequat Av.;406
48;CP 643 7020 Viverra. Rd.;9
49;ZAC 474-3020 Lectus Impasse;363
50;177-8813 Amet Av.;157
51;CP 825 4775 Lectus Avenue;536
52;917-5847 Egestas. Rue;234
53;220-5111 Dictum Route;102
54;8579 Sed Impasse;12
55;6456 Vitae Chemin;839
56;464-6095 Ultricies Chemin;507
57;710-9547 Et Chemin;842
58;ZAC 988-3399 Lectus Rue;118
59;828-1599 Hendrerit Av.;883
60;6184 Eleifend Chemin;828
61;CP 499 1872 Ac Avenue;678
62;CP 895 6239 Integer Route;304
63;8834 Lectus. Impasse;732
64;CP 312 746 Aliquam Route;416
65;7304 Donec Avenue;165
66;ZAC 613-3773 Phasellus Avenue;768
67;ZAC 660-1253 Diam. Route;536
68;3362 Nec Rd.;384
69;ZAC 221-1636 Et Impasse;257
70;ZAC 362-8711 Purus Impasse;382
71;841-9323 Auctor Av.;344
72;4896 Lorem Chemin;283
73;CP 788 9689 Vitae Rue;356
74;CP 997 7952 Donec Av.;674
75;CP 593 5554 Pede Avenue;480
76;547-4031 Purus Chemin;903
77;ZAC 644-7747 Ac Rue;314
78;2359 Justo Avenue;847
79;464-7857 Neque Av.;125
80;8250 Consectetuer Impasse;477
81;CP 446 6955 Faucibus Rd.;68
82;CP 118 9817 Ac Impasse;688
83;743-9035 Vel Impasse;433
84;ZAC 608-7534 Aenean Ave;35
85;9430 Vitae Rd.;438
86;7440 Sapien Impasse;676
87;447-5606 In Av.;92
88;ZAC 231-7416 Lectus Avenue;382
89;2602 Vel Rd.;390
90;CP 378 9002 Convallis Chemin;349
91;ZAC 238-4163 Mi Impasse;371
92;261-7430 Nibh Rue;844
93;ZAC 912-9933 Libero Avenue;312
94;ZAC 120-2786 Tellus Ave;410
95;111 Ipsum Avenue;405
96;CP 834 1201 Non Route;36
97;7471 Duis Chemin;818
98;ZAC 557-8380 Augue. Av.;698
99;CP 327 9426 Sed Rue;661
100;ZAC 669-2226 Molestie Avenue;52
